tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"ورشة تدريبية لمعلمات المدرسة حول الذكاء الاصطناعي التوليدي ، وتوظيف بعض أدواته في التعليم ... 
#فعاليات_تعليمية_جنوب_الباطنة",['#فعاليات_تعليمية_جنوب_الباطنة'],19/09/2023,https://x.com/alshaibahschool/status/1704213544219160816,6,0,ar,True
"إرشادات #اليونسكو الجديدة لـ #الذكاء_الاصطناعي_التوليدي في #التعليم والبحث:
الفوائد والمخاطر الرئيسة:
يمكن أتمتة إنشاء النصوص والصور والفيديو والموسيقى والبرامج، ولكنها تفتقر إلى فهم العالم الحقيقي.
يخاطر بتفاقم الفجوة الرقمية، وانتهاك الملكية الفكرية، ونشر المعلومات المضللة","['#اليونسكو', '#الذكاء', '_الاصطناعي_', 'التوليدي', '#التعليم']",16/09/2023,https://x.com/w2me/status/1702910614677393713,10,4,ar,True
"إرشادات اليونسكو بشأن الذكاء الاصطناعي التوليدي في التعليم والبحث

يمكن تنزيلها على:
https://unesdoc.unesco.org/ark:/48223/pf0000386693….  

#Ai
#EducationForAll","['#Ai', '#EducationForAll']",15/09/2023,https://x.com/Areejabdullahsa/status/1702693704463528121,3,0,ar,True
"""هواوي"" تبني معالجًا متطورًا لتشغيل أحدث هواتفها الذكية، و""اليونسكو"" تنشر دليلًا إرشاديًا حول استخدام الذكاء الاصطناعي التوليدي في التعليم

#نافذة_التكنولوجيا.. تطل عليكم أسبوعيًا من #مركز_الإمارات_للدراسات لتسلط الضوء على أحدث التطورات بمجال التكنولوجيا حول العالم

#TheECSSR","['#نافذة_التكنولوجيا', '#مركز_الإمارات_للدراسات', '#TheECSSR']",11/09/2023,https://x.com/TheECSSR/status/1701204280269844682,0,0,ar,True
"#معلومة

في يناير 2023م وصل عدد المستخدمين النشطين شهريًا في #ChatGPT إلى 100 مليون مستخدم، بينما لم يتم إصدار تنظيم للذكاء الاصطناعي التوليدي إلا في دولة واحدة في يوليو 2023م!

المصدر: تقرير اليونسكو عن #الذكاء_الاصطناعي_التوليدي في التعليم والبحث
https://unesdoc.unesco.org/ark:/48223/pf0000386693…","['#معلومة', '#ChatGPT', '#الذكاء', '_الاصطناعي_', 'التوليدي']",10/09/2023,https://x.com/IWAN_RG/status/1700931912699662501,4,0,ar,True
"اليونسكو توصي الحكومات بضرورة تنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم، وبحد أدنى لسن مستخدمي الذكاء الاصطناعي بالمدارس https://snabusiness.com/article/1651227 via 
@skynewsarabia",[],10/09/2023,https://x.com/DDSaeed/status/1700747909786992849,9,2,ar,True
#اليونسكو تتطلع لتنظيم استخدام #الذكاء_الاصطناعي التوليدي في #التعليم. برأيك كيف ننظمه؟,"['#اليونسكو', '#الذكاء', '_الاصطناعي', '#التعليم']",09/09/2023,https://x.com/ischoolksa/status/1700605242428002505,0,0,ar,True
"مساعد وزير التعليم للتطوير والتحول، بستعرض جهود المملكة في ايجاد التشريعات لتبني #الذكاء_الاصطناعي، ومنصات التعلم الرقمية والذكاء الاصطناعي التوليدي في التعليم، خلال مشاركة المملكة في أسبوع التعليم الرقمي لليونسكو خلال الفترة من 4 إلى 7 سبتمبر 2023 في #باريس.
#البرنامج_التعليمي","['#الذكاء', '_الاصطناعي', '#باريس', '#البرنامج_التعليمي']",09/09/2023,https://x.com/Gulf_Research/status/1700554471707685286,0,0,ar,True
الذكاء الاصطناعي التوليدي ومستقبل التعليم والبحث: قراءة في تقرير اليونسكو!,[],08/09/2023,https://x.com/persware1/status/1700053076718375349,1,0,ar,True
دعت منظمة الأمم المتحدة للتربية والعلوم والثقافة (يونسكو) يوم الخميس الحكومات إلى تنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم.,[],08/09/2023,https://x.com/cgtnarabic/status/1700018627083391207,0,0,ar,True
"اليونسكو تدعو الحكومات إلى تنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم
https://arabic.cri.cn/2023/09/08/ARTI2xsD2Q7ZnzdsvkUKYhwE230908.shtml…",[],08/09/2023,https://x.com/criarabic/status/1700001902103323132,2,0,ar,True
"الذكاء الصناعي فرصة هائلة للتنمية البشرية، ولكنه قد يسفر أيضا عن الأذى والتحيز
اليونسكو تنشر إرشادات هي الأولى من نوعها بشأن #الذكاء_الاصطناعي_التوليدي في التعليم والبحث، للتصدي لأوجه الخلل وضمان اتباع نُهج أخلاقيه تتمحور حول الإنسان.","['#الذكاء', '_الاصطناعي_', 'التوليدي']",08/09/2023,https://x.com/Sameh_Almashad/status/1699936486366269540,9,2,ar,True
"""الذكاء الصناعي فرصة هائلة للتنمية البشرية، ولكنه قد يسفر أيضا عن الأذى والتحيز"".

اليونسكو تنشر إرشادات هي الأولى من نوعها بشأن #الذكاء_الاصطناعي_التوليدي في التعليم والبحث، للتصدي لأوجه الخلل وضمان اتباع نُهج أخلاقيه تتمحور حول الإنسان.","['#الذكاء', '_الاصطناعي_', 'التوليدي']",08/09/2023,https://x.com/UNNewsArabic/status/1699935586621309289,8,0,ar,True
"#تدوينة_الجمعة

 #الذكاء_الأصطناعي_التوليدي ومستقبل التعليم والبحث: قراءة في تقرير اليونسكو!

قراءة ماتعة 
https://tech2click.net/archives/578","['#تدوينة_الجمعة', '#الذكاء', '_الأصطناعي_', 'التوليدي']",07/09/2023,https://x.com/hend_alkhalifa/status/1699891579916571059,30,10,ar,True
«اليونسكو» تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم https://buff.ly/3PrWxu7,[],07/09/2023,https://x.com/Q8Hashtagat/status/1699863862898524304,0,0,ar,True
"اليوم 4 من أسبوع #التعلم_الرقمي لليونسكو: #الذكاء_الاصطناعي_التوليدي في التعليم، ومعايير تقنية التعرف، وتطبيقات الذكاء الاصطناعي المبتكرة.

Day 4 of #DigitalLearningWeek: #generativeAI in education, recognition technology standards, & innovative AI applications.","['#التعلم_الرقمي', '#الذكاء', '_الاصطناعي_', 'التوليدي', '#DigitalLearningWeek', '#generativeAI']",07/09/2023,https://x.com/TDSforAll/status/1699789188068172171,1,1,ar,True
"أعلنت منظمة الأمم المتحدة للتربية والعلم والثقافة #اليونسكو اليوم، أولى مبادئها التوجيهية المتعلقة باستخدام #الذكاء_الاصطناعي التوليدي في التعليم.

◉وحثت اليونسكو الجهات الحكومية على تنظيم استخدام التكنولوجيا بما يتضمن حماية خصوصية البيانات، ووضع قيود تحدد أعمار المستخدمين.
.
.","['#اليونسكو', '#الذكاء', '_الاصطناعي']",07/09/2023,https://x.com/kifannewsQ8/status/1699764523203170514,0,0,ar,True
"نشرت اليونسكو 
@UNESCO
 أول توجيهاتها بشأن استخدام #الذكاء_الاصطناعي التوليدي في التعليم، وحثت الوكالة الحكومية على تنظيم استخدام التقنية. التفاصيل مع 
@alsadaranews
 

#تعليم 
#تكنولوجيا 

https://share.limelines.com/share/mBzzQQQP3?t=628…","['#الذكاء', '_الاصطناعي', '#تعليم', '#تكنولوجيا']",07/09/2023,https://x.com/LimelinesMENA/status/1699761937213800839,0,0,ar,True
يونسكو تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم https://dbmena.com/?p=48230,[],07/09/2023,https://x.com/DBMenaNews/status/1699758669192102220,0,0,ar,True
"تنظيم استخدام ""#الذكاء_الاصطناعي_التوليدي"" في #التعليم... هذا ما تكافح من أجله ""#اليونسكو""!

شدّدت ""اليونسكو"" على الحاجة إلى #مناهج_ذكاء_اصطناعي معتمدة من #الحكومات للتعليم المدرسي

#لبنان #أخبار_اليوم #مدارس #أساتذة #طلاب #Lebanon #AkhbarAlyawm","['#الذكاء', '_الاصطناعي_', 'التوليدي', '#التعليم', '#اليونسكو', '#مناهج_ذكاء_اصطناعي', '#الحكومات', '#لبنان', '#أخبار_اليوم', '#مدارس', '#أساتذة', '#طلاب', '#Lebanon', '#AkhbarAlyawm']",07/09/2023,https://x.com/akhbaralyawm/status/1699756682438488461,0,0,ar,True
"«اليونسكو» تنشر أول مبادئها التوجيهية المتعلقة باستخدام الذكاء الاصطناعي التوليدي في التعليم
#صحيفة_الشرق_الأوسط
#صحيفة_العرب_الأولى 
https://aawsat.news/jj5yy","['#صحيفة_الشرق_الأوسط', '#صحيفة_العرب_الأولى']",07/09/2023,https://x.com/aawsat_News/status/1699726703675822222,2,1,ar,True
"تدريب |

نظمت شعبة الحاسب الآلي بمكتب التعليم بأبحر اليوم ورشة تدريبية ""عن بُعد""لمعلمات الحاسب في جميع المراحل والتي قدمتها المعلمة أريج الغامدي بعنوان(مقدمة في الذكاء الاصطناعي التوليدي وتوظيفه في التعليم) والتي ناقشت التقنيات الحديثة واستخداماتها العملية في الميدان التعليمي",[],07/09/2023,https://x.com/MOE_JDH_30/status/1699724853153091941,22,69,ar,True
"في سلسلة من المبادئ التوجيهية.. هكذا تسعى اليونسكو إلى تنظيم استخدام #الذكاء_الاصطناعي التوليدي في التعليم 

https://p.dw.com/p/4W2jG","['#الذكاء', '_الاصطناعي']",07/09/2023,https://x.com/dw_arabic/status/1699723935384785069,9,2,ar,True
"«اليونسكو» تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم

https://alblaad.com/?p=37045",[],07/09/2023,https://x.com/ALBLAAD/status/1699721990326911056,0,0,ar,True
"#اليونسكو تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم
#قنا #تكنولوجيا
https://ow.ly/exzL50PIG5y","['#اليونسكو', '#قنا', '#تكنولوجيا']",07/09/2023,https://x.com/QatarNewsAgency/status/1699713308771725420,1,1,ar,True
اليونسكو تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم https://ajmannews.ae/112677 #أخبار_تقنية  #تقنية  #أخبار,"['#أخبار_تقنية', '#تقنية', '#أخبار']",07/09/2023,https://x.com/ajmannews/status/1699700651318562977,0,0,ar,True
"اليونسكو تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم
https://maqar.com/archives/625492",[],07/09/2023,https://x.com/Maqarcom/status/1699696833533022325,0,0,ar,True
"«اليونسكو» تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم https://aawsat.news/jj5yy
ليتحملوا عبث المراهقين.",[],07/09/2023,https://x.com/f_albehjan/status/1699693872996032837,0,0,ar,True
"اليونيسكو تتطلع لتنظيم استخدام الذكاء الاصطناعي التوليدي في التعليم

https://tinyurl.com/ymfb6pdh

#صحيفة_الخليج",['#صحيفة_الخليج'],07/09/2023,https://x.com/alkhaleej/status/1699692729846919190,1,0,ar,True
